Std_id,Reference,Analysis,Design,Coding,github,Testing,Results,Report,Presentation,Proposal,NumOfMeetings,Evaluation
1,44,50,1,57,67,81,43,60,97,67,9,
2,22,38,2,24,45,9,65,17,8,5,3,
3,17,35,0,50,59,19,31,12,27,12,1,
4,17,98,61,9,8,4,0,21,63,63,1,
5,8,9,10,7,59,42,23,6,49,83,8,
6,68,85,32,99,48,44,40,98,77,86,5,
7,91,65,67,91,98,70,18,36,35,97,8,
8,1,6,38,75,40,19,45,26,18,4,2,
9,5,38,8,82,50,84,39,12,3,47,7,
10,18,97,14,18,57,74,79,87,46,29,8,
11,36,26,88,68,78,40,92,80,12,17,9,
12,14,64,83,86,62,10,15,77,81,79,6,
13,18,86,93,98,44,1,83,48,98,3,1,
14,62,24,7,34,19,2,5,16,11,63,3,
15,62,15,95,88,55,83,50,12,35,20,5,
16,29,7,15,9,42,5,23,9,35,44,0,
17,66,99,15,12,5,87,94,24,33,71,4,
18,61,38,6,26,13,10,2,18,62,45,3,
19,4,77,42,52,42,68,9,72,60,32,3,
20,97,24,64,15,82,25,19,51,67,62,5,
21,72,16,59,99,44,68,29,77,65,85,3,
22,67,2,19,45,36,9,11,38,24,58,2,
23,94,29,29,84,47,13,97,76,54,40,2,
24,6,63,69,90,68,78,22,77,62,78,1,
25,48,3,18,26,29,13,26,66,36,59,2,
26,83,20,50,27,94,7,5,81,41,17,2,
27,33,18,13,69,10,83,6,3,0,5,6,
28,17,43,9,83,74,6,11,3,29,19,5,
29,89,57,39,9,84,32,99,27,23,70,7,
30,70,6,77,41,2,28,36,9,28,0,1,
31,64,33,1,35,40,16,14,38,9,44,1,
32,40,61,72,98,79,98,81,85,100,97,5,
33,63,39,70,75,19,98,7,91,95,73,8,
34,2,83,12,53,42,83,88,75,99,98,8,
35,87,97,87,64,77,14,55,92,75,85,7,
36,5,15,2,65,3,33,7,24,6,22,4,
37,8,9,9,2,26,42,63,10,9,86,8,
38,62,10,78,91,48,42,93,66,66,24,5,
39,86,26,13,49,46,58,2,22,61,14,6,
40,72,26,80,49,94,57,89,89,80,100,0,
41,18,93,11,92,79,56,59,24,14,1,8,
42,52,37,22,14,16,12,19,3,21,18,4,
43,4,22,41,39,43,15,47,3,27,11,1,
44,50,14,8,89,31,55,37,86,47,47,4,
45,24,7,35,39,47,90,95,86,13,24,7,
46,12,16,20,71,84,47,14,80,75,68,3,
47,15,96,89,91,87,87,8,33,5,42,4,
48,15,28,28,16,86,97,39,25,58,87,3,
49,56,8,97,59,7,69,44,55,32,14,6,
50,36,39,64,5,41,31,77,59,51,61,1,
